;marca;preco
189;Placa Mãe Gigabyte B365m H Socket 1151 Ddr4 Rev. 1.0;R$ 734,99
190;Placa Mãe Isync Dh110mxv Lga 1151 Ddr3l Rede 10/100/1000;R$ 549,00
191;Placa Mae Desk 775 Bpc-g41ag-b3 Brazil Pc;R$ 449,00
192;Placa Mae Desk 151 Bpc-h110m Brazil Pc;R$ 589,00
193;Placa Mãe Biostar A68n 2100k Processador Amd E1-6010 2.0;R$ 454,90
194;Placa Mãe Gigabyte B660m Aorus Pro Ax Matx Ddr4 Lga 1700;R$ 1.858,41
195;Placa Mãe, Asus 1151 EX-B150M-V3, Oem;R$ 559,16
196;Placa Mãe Bluecase Bmbh110-i3hgu Ddr4 Lga 1151 Intel H110;R$ 583,00
197;Placa Mãe Desktop 1150 Lga Bpc-b85-dv V2.0 Para Processadores Intel Core I3 I5 E I7;R$ 549,00
198;Placa Mãe Desktop Lga 1155 H61 Ddr3 C/ Espelho;R$ 529,00
199;Placa Mãe Gigabyte Z690 Gaming X Intel Lga1700 Rev 1.0 Ddr4 Atx - Z690-gamingx;R$ 3.020,31
200;Placa Mãe Esonic H55kel Lga 1156, DDR3 1333Mhz Dimm;R$ 429,00
201;Placa Mãe Bluecase Bmb78-d2 Bulk DDR3 Am3+ Chipset Amd 760g Matx.;R$ 432,00
202;Placa Mae AMD AM4 A320m-ac M.2 2x, DDR4, HDMI, A320M-AC, Asrock;R$ 545,60
203;Placa De Vídeo AFOX Nvidia Geforce Gt240 1024 MB, PCI Express 2.0, VGA, HDMI, DVI;R$ 232,48
204;Placa de Vídeo Afox GT220, 1024 MB DDR3, 128Bits, Low Profile, HDMI, DVI, VGA - AF220-1024D3L2;R$ 178,99
205;Kit  Placa Mae 1155, Processador I5 3470, Ddr3 8gb;R$ 899,99
206;Kit Placa Mãe H55 + Processador Intel Core I3 + Memória 4gb Com 2gb+2gb Ddr3;R$ 476,10
207;Kit Placa Mãe B75 + Processador I7 3770 3,9 Ghz 8 Gb Ddr3;R$ 1.026,00
208;Kit Placa Mãe H81, Processador I3 4130, Memoria 4 GB DDR3, Cooler;R$ 629,00
209;Kit Placa Mãe B75 + Processador I7 3770 3,9 Ghz 16 Gb Ddr3;R$ 1.187,50
210;Kit Placa Mãe H61, LGA 1155, DDR3, Processador I3 3220 e Cooler;R$ 449,00
211;Kit Placa Mãe H81, Processador I5 4570, Memoria 4GB, DDR3, Cooler;R$ 735,00
212;Kit Gamer Placa Mãe Intel 1151, Processador I5 6ª Geração H110, Memória RAM 6GB DDR4, Cooler padrão RGB, Dual Channel;R$ 1.453,50
213;Kit Upgrade, Placa Mãe H61, I5 3ª Geração, Memória 8gb Ddr3.;R$ 729,60
214;Kit Placa Mãe H81 + Processador I7 4770 + Memoria 8 Gb Ddr3 + Cooler;R$ 1.160,00
215;Kit Placa Mãe H81, Processador I5 4570s, Memoria 8 Gb DDR3, Cooler;R$ 999,00
216;Kit Placa Mãe, H61 Processador, I5-3470s, Cooler Universal;R$ 1.199,00
217;Kit Upgrade, Placa Mãe H61, I5 3ª Geração, Cooler Rgb, Memória 16GB, DDR3;R$ 919,60
218;Kit Placa Mãe H55 + Processador Intel Core I5 + Memória 4gb Com 2gb+2gb Ddr3;R$ 666,00
219;Kit Upgrade, Placa Mãe H81, I5 4ª Geração, Memória 16GB, DDR3;R$ 983,25
220;Kit Placa Mãe H81 + Processador I5 4570s  + Memoria 4 Gb Ddr3 + Cooler;R$ 920,00
221;Kit Upgrade - Placa Mãe H61 + Processador I5 3470  + Memoria 8GB DDR3 + Cooler;R$ 785,00
222;Kit Placa Mãe 1155, Processador I3 2100, DDR3 4GB;R$ 736,17
223;Kit Placa Mãe H81 + Processador I5 4570 + Cooler;R$ 659,00
224;Kit Pc, Intel I3, 2100 Placa Mãe, H61 Afox, Smart Pc - Smt84055.;R$ 431,29
225;Kit Placa Mãe H61 + Proc I3 2100 + Memoria 2Gb DDR3 + Cooler;R$ 529,99
226;Kit Placa Mãe H61 + Proc I5 3470 + Memoria 4GB DDR 3 + Cooler + SSD 120;R$ 758,87
227;Kit Placa Mãe H81 + Processador I3 4130 + Cooler;R$ 625,00
228;Kit Upgrade - Placa Mãe H81 + Processador I5 4ª Geração + Memória 8GB DDR3;R$ 853,10
229;Kit Upgrade Neologic Nli84110 AMD Ryzen 5 5600g, Placa Mãe A520m-e Prime Asus, 16GB DDR4,;R$ 2.198,10
230;Kit Pc, Intel I5, 2400 Placa Mãe H61 Afox, 8gb Ddr3, Smart Pc - Smt84050.;R$ 569,63
231;Kit 1156, Placa Mãe 1156, Processador I5, DDR3 4GB;R$ 699,00
232;Kit Pc, Intel I3 2100 Placa Mãe, H61 Afox, 8gb Ddr3, Smart Pc - Smt84053.;R$ 569,35
233;Kit Upgrade Neologic Nli84048 AMD Ryzen 5 4500, Placa Mãe A320m Prime Asus, 16GB DDR4;R$ 1.728,90
234;Kit Upgrade, Placa Mãe H81, I5 4ª Geração, Memória 4gb Ddr3;R$ 786,60
235;Kit Upgrade, AMD Ryzen 5 4500, Placa Mãe A320m Prime Asus, 8GB DDR4, Neologic - NLI84047;R$ 1.513,80
236;Kit Upgrade Neologic Placa Mae Asus A520m-e Prime, Processador AMD Ryzen 7 5700G, Memoria Gamer 16GB U-DIMM Com Dissipador;R$ 3.125,74
